ISBN,Title,Subtitle,Authors,Publish Year,eBook Link,Price
978-3-319-01857-7,Advances in Systems Science,Proceedings of the International Conference on Systems Science 2013 (ICSS 2013),Jerzy Swiątek; Adam Grzech; Paweł Swiątek; Jakub M. Tomczak,2014,https://doi.org/10.1007/978-3-319-01857-7,400
978-3-031-43934-6,Advances in Thermal Science and Energy,"Proceedings of the 19th International Days on Thermal Science and Energy, JITH 2022, November 15–17, 2022, Tangier, Morocco",Fazia Ali-Toudert; Abdeslam Draoui; Kamel Halouani; Mohammed Hasnaoui; Abdelmajid Jemni; Lounès Tadrist,2024,https://doi.org/10.1007/978-3-031-43934-6,400
978-3-319-06701-8,Advancing the Impact of Design Science: Moving from Theory to Practice,"9th International Conference, DESRIST 2014, Miami, FL, USA, May 22-24, 2014. Proceedings",Monica Chiarini Tremblay; Debra VanderMeer; Marcus Rothenberger; Ashish Gupta; Victoria Yoon,2014,https://doi.org/10.1007/978-3-319-06701-8,100
978-88-470-1079-6,Affidabilità delle costruzioni meccaniche,Strumenti e metodi per l'affidabilità di un progetto,Stefano Beretta,2009,https://doi.org/10.1007/978-88-470-1079-6,419
978-3-030-20908-7,A First Course in Statistics for Signal Analysis,Unavailable,Wojbor A. Woyczyński,2019,https://doi.org/10.1007/978-3-030-20908-7,419
978-0-8176-8101-2,A First Course in Statistics for Signal Analysis,Unavailable,Wojbor A. Woyczynski,2011,https://doi.org/10.1007/978-0-8176-8101-2,419
978-0-8176-4516-8,A First Course in Statistics for Signal Analysis,Unavailable,Wojbor A. Woyczynski,2006,https://doi.org/10.1007/978-0-8176-4516-8,419
978-3-031-72609-5,A Franciscan Theological-Metaphysical Foundation of Emergence,Theology and Science in an Enriching Dialogue,Mantini Alessandro,2024,https://link.springer.com/978-3-031-72609-5,300
978-3-319-65993-0,Agent-Based Models and Complexity Science in the Age of Geospatial Big Data,Selected Papers from a workshop on Agent-Based Models and Complexity Science (GIScience 2016),Liliana Perez; Eun-Kyeong Kim; Raja Sengupta,2018,https://doi.org/10.1007/978-3-319-65993-0,280
978-3-662-44163-3,A History of Chinese Science and Technology,Volume 3,Yongxiang Lu,2015,https://doi.org/10.1007/978-3-662-44163-3,240
978-3-662-44166-4,A History of Chinese Science and Technology,Volume 2,Yongxiang Lu,2015,https://doi.org/10.1007/978-3-662-44166-4,180
978-3-662-44257-9,A History of Chinese Science and Technology,Volume 1,Yongxiang Lu,2015,https://doi.org/10.1007/978-3-662-44257-9,260
978-3-031-66410-6,AI Technologies for Information Systems and Management Science,Proceedings of 6th International Conference on Information Systems and Management Science (ISMS) 2023 - Volume 1,Lalit Garg; Nishtha Kesswani; Imene Brigui; Bhupesh Kr. Dewangan; R. N. Shukla; Dilip Singh Sisodia,2024,https://link.springer.com/978-3-031-66410-6,300
978-3-031-70789-6,AI Technologies for Information Systems and Management Science,Proceedings of 6th International Conference on Information Systems and Management Science (ISMS) 2023 - Volume 2,Lalit Garg; Dilip Singh Sisodia; Bhupesh Kr. Dewangan; R. N. Shukla; Nishtha Kesswani; Imene Brigui,2024,https://link.springer.com/978-3-031-70789-6,400
978-3-642-22944-2,Algebra and Coalgebra in Computer Science,"4th International Conference, CALCO 2011, Winchester, UK, August 30 - September 2, 2011, Proceedings",Andrea Corradini; Bartek Klin; Corina Cîrstea,2011,https://doi.org/10.1007/978-3-642-22944-2,100
978-3-642-03741-2,Algebra and Coalgebra in Computer Science,"Third International Conference, CALCO 2009, Udine, Italy, September 7-10, 2009, Proceedings",Alexander Kurz; Marina Lenisa,2009,https://doi.org/10.1007/978-3-642-03741-2,100
978-4-431-55459-2,Algebraic and Computational Aspects of Real Tensor Ranks,Unavailable,Toshio Sakata; Toshio Sumi; Mitsuhiro Miyazaki,2016,https://doi.org/10.1007/978-4-431-55459-2,100
978-3-642-24897-9,Algebraic Foundations in Computer Science,Essays Dedicated to Symeon Bozapalidis on the Occasion of His Retirement,Werner Kuich; George Rahonis,2011,https://doi.org/10.1007/978-3-642-24897-9,100
978-0-387-34804-9,Algebraic Logic and Universal Algebra in Computer Science,"Conference, Ames, Iowa, USA June 1–4, 1988 Proceedings",Clifford H. Bergman; Roger D. Maddux; Don L. Pigozzi,1990,https://doi.org/10.1007/BFb0043074,100
978-94-007-0876-1,A Love of Discovery,Science Education - The Second Career of Robert Karplus,Robert G. Fuller,2002,https://doi.org/10.1007/978-94-007-0876-1,100
978-1-4684-8482-3,American Political Science Research Guide,Volume 1,George W. Johnson,1977,https://doi.org/10.1007/978-1-4684-8482-3,140
978-94-017-0583-7,A Model-Theoretic Realist Interpretation of Science,Unavailable,E.B. Ruttkamp,2002,https://doi.org/10.1007/978-94-017-0583-7,180
978-3-031-63382-9,A Moral Inquiry into Epistemic Insights in Science Education,Personal and Global Perspectives of Socioscientific Issues,Dana L. Zeidler; Ly Do,2024,https://doi.org/10.1007/978-3-031-63382-9,320
978-94-007-2582-9,Analysis and Interpretation in the Exact Sciences,Essays in Honour of William Demopoulos,Melanie Frappier; Derek Brown; Robert DiSalle,2012,https://doi.org/10.1007/978-94-007-2582-9,180
978-3-030-13578-2,"Analysis of Science, Technology, and Innovation in Emerging Economies",Unavailable,Clara Inés Pardo Martínez; Alexander Cotte Poveda; Sylvia Patricia Fletscher Moreno,2019,https://doi.org/10.1007/978-3-030-13578-2,170
978-1-4020-4089-4,An American Scientist on the Research Frontier,"Edward Morley, Community, and Radical Ideas in Nineteenth-Century Science",Ralph R. Hamerla,2006,https://doi.org/10.1007/1-4020-4089-X,180
978-94-009-3765-9,An Architectonic for Science,The Structuralist Program,W. Balzer; C.U. Moulines; J.D. Sneed,1987,https://doi.org/10.1007/978-94-009-3765-9,638
978-3-662-05715-5,Anästhesie in Frage und Antwort,Basic Sciences / Clinical Sciences,W.F. Bergler; G. Petroianu; T. Hünnemeier; P.M. Osswald; K. Koetter; W. Maleck; L. Prem; A. Stegmeier-Petroianu,2000,https://doi.org/10.1007/978-3-662-05715-5,168
978-981-15-7844-1,A New Phase of Systematic Development of Scientific Theories in China,History of Science and Technology in China Volume 4,Xiaoyuan Jiang,2021,https://doi.org/10.1007/978-981-15-7844-1,460
978-3-658-39625-1,Angewandte Data Science,Projekte | Methoden | Prozesse,Lothar B. Blum,2023,https://doi.org/10.1007/978-3-658-39625-1,126
978-3-662-05748-3,Angewandte Statistik,Anwendung statistischer Methoden,Lothar Sachs,1984,https://doi.org/10.1007/978-3-662-05748-3,486
978-3-662-05749-0,Angewandte Statistik,Planung und Auswertung - Methoden und Modelle,Lothar Sachs,1974,https://doi.org/10.1007/978-3-662-05749-0,486
978-3-322-83868-1,Angewandte Statistik,"Einführung, Problemlösungen mit dem Mikrocomputer",Karl Bosch,1986,https://doi.org/10.1007/978-3-322-83868-1,201
978-3-0348-7001-6,Angiogenesis,Key Principles — Science — Technology — Medicine,Steiner;  Weisz;  Langer,1992,https://doi.org/10.1007/978-3-0348-7001-6,100
978-3-319-56375-6,Animals and Science Education,"Ethics, Curriculum and Pedagogy",Michael P. Mueller; Deborah J. Tippins; Arthur J. Stewart,2017,https://doi.org/10.1007/978-3-319-56375-6,280
978-94-009-5905-7,Animal Suffering,The Science of Animal Welfare,Marian Dawkins,1980,https://doi.org/10.1007/978-94-009-5905-7,100
978-94-6091-690-8,"An Inquiry into Science Education, Where the Rubber Meets the Road",Unavailable,Richard N. Steinberg,2011,https://doi.org/10.1007/978-94-6091-690-8,70
978-94-009-2327-0,An Intimate Relation,Studies in the History and Philosophy of Science Presented to Robert E. Butts on his 60th Birthday,J.R. Brown; J. Mittelstrass,1989,https://doi.org/10.1007/978-94-009-2327-0,578
978-1-4615-3668-0,An Introduction to Marine Science,Unavailable,P. S. Meadows; J. I. Campbell,1988,https://doi.org/10.1007/978-1-4615-3668-0,100
978-94-015-7329-0,An Introduction to Marine Science,Unavailable,P.S. Meadows,1988,https://doi.org/10.1007/978-94-015-7329-0,100
978-1-349-17102-6,An Introduction to the Logic of the Sciences,Unavailable,Rom Harré,1983,https://doi.org/10.1007/978-1-349-17102-6,93
978-94-015-7678-9,Antipositivist Theories of the Sciences,"Critical Rationalism, Critical Theory and Scientific Realism",N. Stockman,1983,https://doi.org/10.1007/978-94-015-7678-9,280
978-981-13-2679-0,A Phenomenological Inquiry into Science Teachers’ Case Method Learning,Unavailable,Sye Foong Yee,2019,https://doi.org/10.1007/978-981-13-2679-0,110
978-1-4684-6700-0,Aphrodisiacs,The Science and the Myth,Peter V. Taberner,1985,https://doi.org/10.1007/978-1-4684-6700-0,100
978-3-030-50049-8,A Political History of Big Science,The Other Europe,Katharina C. Cramer,2020,https://doi.org/10.1007/978-3-030-50049-8,220
978-94-009-5345-1,A Portrait of Twenty-five Years,Boston Colloquium for the Philosophy of Science 1960–1985,Robert S. Cohen; Marx W. Wartofsky,1985,https://doi.org/10.1007/978-94-009-5345-1,180
978-94-010-1315-4,Application of Vegetation Science to Grassland Husbandry,Unavailable,W. Krause,1977,https://doi.org/10.1007/978-94-010-1315-4,100
978-981-19-2768-3,Applications of Decision Science in Management,Proceedings of International Conference on Decision Science and Management (ICDSM 2022),Taosheng Wang; Srikanta Patnaik; Wu Chun Ho Jack; Maria Leonilde Rocha Varela,2023,https://doi.org/10.1007/978-981-19-2768-3,400
978-1-4614-4109-0,Applications of Mathematics and Informatics in Military Science,Unavailable,Nicholas Daras,2012,https://doi.org/10.1007/978-1-4614-4109-0,100
978-3-540-95968-7,Applications of Synchrotron Light to Scattering and Diffraction in Materials and Life Sciences,Unavailable,T.A. Ezquerra; Mari Cruz Garcia-Gutierrez; Aurora Nogales; Marian Gomez,2009,https://doi.org/10.1007/978-3-540-95968-7,100
978-3-319-96422-5,Applied Compositional Data Analysis,With Worked Examples in R,Peter Filzmoser; Karel Hron; Matthias Templ,2018,https://doi.org/10.1007/978-3-319-96422-5,240
978-3-319-30866-1,Applied Computer Science,Unavailable,Shane Torbert,2016,https://doi.org/10.1007/978-3-319-30866-1,419
978-1-4614-1888-7,Applied Computer Science,Unavailable,Shane Torbert,2012,https://doi.org/10.1007/978-1-4614-1888-7,419
978-3-030-38164-6,Applied Multiple Imputation,"Advantages, Pitfalls, New Developments and Applications in R",Kristian Kleinke; Jost Reinecke; Daniel Salfrán; Martin Spiess,2020,https://doi.org/10.1007/978-3-030-38164-6,419
978-3-642-80328-4,Applied Multivariate Statistics in Geohydrology and Related Sciences,Unavailable,Charles E. Brown,1998,https://doi.org/10.1007/978-3-642-80328-4,419
978-3-642-32914-2,Applied Panel Data Analysis for Economic and Social Surveys,Unavailable,Hans-Jürgen Andreß; Katrin Golsch; Alexander W. Schmidt,2013,https://doi.org/10.1007/978-3-642-32914-2,419
978-3-319-53934-8,"Applied Physics, System Science and Computers","Proceedings of the 1st International Conference on Applied Physics, System Science and Computers (APSAC2016), September 28-30, Dubrovnik, Croatia",Klimis Ntalianis; Anca Croitoru,2018,https://doi.org/10.1007/978-3-319-53934-8,578
978-3-319-75605-9,"Applied Physics, System Science and Computers II","Proceedings of the 2nd International Conference on Applied Physics, System Science and Computers (APSAC2017), September 27-29, 2017, Dubrovnik, Croatia",Klimis Ntalianis; Anca Croitoru,2019,https://doi.org/10.1007/978-3-319-75605-9,280
978-3-030-21507-1,"Applied Physics, System Science and Computers III","Proceedings of the 3rd International Conference on Applied Physics, System Science and Computers (APSAC2018), September 26-28, 2018, Dubrovnik, Croatia",Klimis Ntalianis; George Vachtsevanos; Pierre Borne; Anca Croitoru,2019,https://doi.org/10.1007/978-3-030-21507-1,280
978-1-4612-5798-1,Applied Probability— Computer Science: The Interface,Unavailable,Ralph L. Disney; Teunis J. Ott,1982,https://doi.org/10.1007/978-1-4612-5798-1,100
978-1-4612-5791-2,Applied Probability-Computer Science: The Interface Volume 1,Unavailable,Ralph L. Disney; Teunis J. Ott,1982,https://doi.org/10.1007/978-1-4612-5791-2,100
978-3-030-93574-0,Applied Research Methods in Urban and Regional Planning,Unavailable,Yanmei Li; Sumei Zhang,2022,https://doi.org/10.1007/978-3-030-93574-0,419
978-3-540-71972-4,"Applied Statistics Using SPSS, STATISTICA, MATLAB and R",Unavailable,Joaquim P. Marques de Sá,2007,https://doi.org/10.1007/978-3-540-71972-4,180
978-3-031-01938-8,Applied Weed and Herbicide Science,Unavailable,Kassio Ferreira Mendes; Antonio Alberto da Silva,2022,https://doi.org/10.1007/978-3-031-01938-8,419
978-3-658-38798-3,Apply Data Science,"Introduction, Applications and Projects",Thomas Barton; Christian Müller,2023,https://doi.org/10.1007/978-3-658-38798-3,100
978-3-030-71535-9,Applying Bio-Measurements Methodologies in Science Education Research,Unavailable,Iztok Devetak; Saša Aleksij Glažar,2021,https://doi.org/10.1007/978-3-030-71535-9,180
978-3-031-74227-9,Applying Machine Learning in Science Education Research,"When, how, and why?",Peter Wulff; Marcus Kubsch; Christina Krist,2025,https://link.springer.com/978-3-031-74227-9,0
978-94-009-3917-2,Approaches to Organic Form,Permutations in Science and Culture,F.R. Burwick,1987,https://doi.org/10.1007/978-94-009-3917-2,280
978-981-19-0817-0,Aquaculture Science and Engineering,Unavailable,Balamuralikrishnan Balasubramanian; Wen-Chao Liu; Govindharajan Sattanathan,2022,https://doi.org/10.1007/978-981-19-0817-0,418
978-3-031-53200-9,A Quantitative Portrait of Analytic Philosophy,Looking Through the Margins,Eugenio Petrovich,2024,https://doi.org/10.1007/978-3-031-53200-9,200
978-3-030-45147-9,Archaeoastronomy,Introduction to the Science of Stars and Stones,Giulio Magli,2020,https://doi.org/10.1007/978-3-030-45147-9,419
978-3-319-22882-2,Archaeoastronomy,Introduction to the Science of Stars and Stones,Giulio Magli,2016,https://doi.org/10.1007/978-3-319-22882-2,419
978-3-319-58059-3,Archimedes in the 21st Century,Proceedings of a World Conference at the Courant Institute of Mathematical Sciences,Chris Rorres,2017,https://doi.org/10.1007/978-3-319-58059-3,180
978-3-7091-8293-2,Arc Plasma Technology in Materials Science,Unavailable,Dennis A. Gerdeman; Norman L. Hecht,1972,https://doi.org/10.1007/978-3-7091-8293-2,100
978-3-642-24203-8,"Arctic Science, International Law and Climate Change",Legal Aspects of Marine Science in the Arctic Ocean,Susanne Wasum-Rainer; Ingo Winkelmann; Katrin Tiroch,2012,https://doi.org/10.1007/978-3-642-24203-8,100
978-1-349-17378-5,A Realist Philosophy of Science,Unavailable,J. Aronson,1984,https://doi.org/10.1007/978-1-349-17378-5,280
978-1-4020-6670-2,Argumentation in Science Education,Perspectives from Classroom-Based Research,Sibel Erduran; María Pilar Jiménez-Aleixandre,2007,https://doi.org/10.1007/978-1-4020-6670-2,400
978-3-030-88615-8,Artificial Intelligence and Its Discontents,Critiques from the Social Sciences and Humanities,Ariane Hanemaayer,2022,https://doi.org/10.1007/978-3-030-88615-8,220
978-3-031-07155-3,"Artificial Intelligence, Big Data and Data Science in Statistics","Challenges and Solutions in Environmetrics, the Natural Sciences and Technology",Ansgar Steland; Kwok-Leung Tsui,2022,https://doi.org/10.1007/978-3-031-07155-3,340
978-3-030-68310-8,Artificial Intelligence for Materials Science,Unavailable,Yuan Cheng; Tian Wang; Gang Zhang,2021,https://doi.org/10.1007/978-3-030-68310-8,300
978-1-4020-9119-3,Artificial Intelligence Methods in the Environmental Sciences,Unavailable,Sue Ellen Haupt; Antonello Pasini; Caren Marzban,2009,https://doi.org/10.1007/978-1-4020-9119-3,280
978-3-319-52246-3,Assessing Model-Based Reasoning using Evidence- Centered Design,A Suite of Research-Based Design Patterns,Robert J Mislevy; Geneva Haertel; Michelle Riconscente; Daisy Wise Rutstein; Cindy Ziker,2017,https://doi.org/10.1007/978-3-319-52246-3,130
978-94-007-2748-9,Assessing Schools for Generation R (Responsibility),A Guide for Legislation and School Policy in Science Education,Michael P. Mueller; Deborah J. Tippins; Arthur J. Stewart,2014,https://doi.org/10.1007/978-94-007-2748-9,180
978-94-010-0802-0,Assessment in Science,A Guide to Professional Development and Classroom Practice,D.P. Shepardson,2001,https://doi.org/10.1007/978-94-010-0802-0,180
978-981-15-4327-2,Assessment of Climate Change over the Indian Region,"A Report of the Ministry of Earth Sciences (MoES), Government of India",R. Krishnan; J. Sanjay; Chellappan Gnanaseelan; Milind Mujumdar; Ashwini Kulkarni; Supriyo Chakraborty,2020,https://doi.org/10.1007/978-981-15-4327-2,0
978-1-4020-3408-4,Assessment Reform in Science,Fairness and Fear,Benny B.H.W Yung,2006,https://doi.org/10.1007/1-4020-3408-3,280
978-94-015-8941-3,Astronomical Time Series,"Proceedings of The Florence and George Wise Observatory 25th Anniversary Symposium held in Tel-Aviv, Israel, 30 December 1996–1 January 1997",Dan Maoz; Amiel Sternberg; Elia M. Leibowitz,1997,https://doi.org/10.1007/978-94-015-8941-3,280
978-94-007-1658-2,Astronomy at the Frontiers of Science,Unavailable,Jean-Pierre Lasota,2011,https://doi.org/10.1007/978-94-007-1658-2,280
978-94-011-5076-7,Astrophysics and Space Science,"Volume 255, 1997/1998 An International Journal of Astronomy, Astrophysics and Space Science",L.B.F.M. Waters; C. Waelkens; Karel A. van der Hucht; P.A. Zaal,1998,https://doi.org/10.1007/978-94-011-5076-7,400
978-3-319-89701-1,Astrophysics of Exoplanetary Atmospheres,2nd Advanced School on Exoplanetary Science,Valerio Bozza; Luigi Mancini; Alessandro Sozzetti,2018,https://doi.org/10.1007/978-3-319-89701-1,240
978-3-031-58853-2,A Taste of the Science of Eating,Insights from the Science of Smelling and Tasting,Garmt Dijksterhuis,2024,https://doi.org/10.1007/978-3-031-58853-2,220
978-1-137-28104-3,A Theory of Causation in the Social and Biological Sciences,Unavailable,A. Reutlinger,2013,https://doi.org/10.1057/9781137281043,100
978-3-319-62006-0,Atmospheric and Space Sciences: Ionospheres and Plasma Environments,Volume 2,Erdal Yiğit,2018,https://doi.org/10.1007/978-3-319-62006-0,100
978-3-319-21581-5,Atmospheric and Space Sciences: Neutral Atmospheres,Volume 1,Erdal Yiğit,2015,https://doi.org/10.1007/978-3-319-21581-5,100
978-3-319-06495-6,Atmospheric Research From Different Perspectives,Bridging the Gap Between Natural and Social Sciences,Ralf Koppmann,2014,https://doi.org/10.1007/978-3-319-06495-6,100
978-3-322-91171-1,Aufgabensammlung zur Einführung in die Statistik,Unavailable,Jürgen Lehn; Helmut Wegmann; Stefan Rettig,1994,https://doi.org/10.1007/978-3-322-91171-1,173
978-3-642-16208-4,"Automation, Communication and Cybernetics in Science and Engineering 2009/2010",Unavailable,Sabina Jeschke; Ingrid Isenhardt; Klaus Henning,2011,https://doi.org/10.1007/978-3-642-16208-4,400
978-3-642-33389-7,"Automation, Communication and Cybernetics in Science and Engineering 2011/2012",Unavailable,Sabina Jeschke; Ingrid Isenhardt; Frank Hees; Klaus Henning,2013,https://doi.org/10.1007/978-3-642-33389-7,280
978-3-319-08816-7,"Automation, Communication and Cybernetics in Science and Engineering 2013/2014",Unavailable,Sabina Jeschke; Ingrid Isenhardt; Frank Hees; Klaus Henning,2014,https://doi.org/10.1007/978-3-319-08816-7,180
978-3-319-42620-4,"Automation, Communication and Cybernetics in Science and Engineering 2015/2016",Unavailable,Sabina Jeschke; Ingrid Isenhardt; Frank Hees; Klaus Henning,2016,https://doi.org/10.1007/978-3-319-42620-4,280
978-0-230-11805-8,A Vision of Modern Science,John Tyndall and the Role of the Scientist in Victorian Culture,U. DeYoung,2011,https://doi.org/10.1057/9780230118058,100
978-1-4614-9628-1,Ayurvedic Science of Food and Nutrition,Unavailable,Sanjeev Rastogi,2014,https://doi.org/10.1007/978-1-4614-9628-1,180
978-94-017-0837-1,Basic Problems in Methodology and Linguistics,"Part Three of the Proceedings of the Fifth International Congress of Logic, Methodology and Philosophy of Science, London, Ontario, Canada-1975",Robert E. Butts; Jaakko Hintikka,1977,https://doi.org/10.1007/978-94-017-0837-1,280
978-94-009-5804-3,Basic Statistics,For medical and social science students,A. Maxwell,1978,https://doi.org/10.1007/978-94-009-5804-3,100
978-94-007-7838-2,Bas van Fraassen’s Approach to Representation and Models in Science,Unavailable,Wenceslao J. Gonzalez,2014,https://doi.org/10.1007/978-94-007-7838-2,180
978-0-387-09612-4,Bayesian Evaluation of Informative Hypotheses,Unavailable,Herbert Hoijtink; Irene Klugkist; Paul Boelen,2008,https://doi.org/10.1007/978-0-387-09612-4,180
978-3-642-30253-4,Bayesian Hierarchical Space-Time Models with Application to Significant Wave Height,Unavailable,Erik Vanem; Elzbieta Maria Bitner-Gregersen; Christopher K. Wikle,2013,https://doi.org/10.1007/978-3-642-30253-4,100
978-1-4757-3502-4,Bayesian Networks and Decision Graphs,Unavailable,Thomas Dyhre Nielsen; FINN VERNER JENSEN,2001,https://doi.org/10.1007/978-1-4757-3502-4,419
978-1-4939-2125-6,Bayesian Networks in Educational Assessment,Unavailable,Russell G. Almond; Robert J. Mislevy; Linda S. Steinberg; Duanli Yan; David M. Williamson,2015,https://doi.org/10.1007/978-1-4939-2125-6,419
978-3-030-24494-1,Bayesian Optimization and Data Science,Unavailable,Francesco Archetti; Antonio Candelieri,2019,https://doi.org/10.1007/978-3-030-24494-1,130
978-3-031-54082-0,Be a Champion,40 Facts You Didn't Know About Sports and Science,Amandine Aftalion,2024,https://doi.org/10.1007/978-3-031-54082-0,66
978-1-4899-6144-0,Beauty and the Beast,The Aesthetic Moment in Science,Ernst Peter Fischer,1999,https://doi.org/10.1007/978-1-4899-6144-0,100
978-1-4614-1238-0,Behavioral Research Data Analysis with R,Unavailable,Yuelin Li; Jonathan Baron,2012,https://doi.org/10.1007/978-1-4614-1238-0,150
978-1-4613-8441-0,Behavioral Sciences,Unavailable,Ronald S. Krug; Alvah R. Cass,1995,https://doi.org/10.1007/978-1-4613-8441-0,180
978-1-4684-0282-7,Behavioral Sciences,Unavailable,Ronald S. Krug; Alvah R. Cass,1987,https://doi.org/10.1007/978-1-4684-0282-7,154
978-3-030-45421-0,Behavior Science Perspectives on Culture and Community,Unavailable,Traci M. Cihon; Mark A. Mattaini,2020,https://doi.org/10.1007/978-3-030-45421-0,419
978-94-6300-349-0,Being and Becoming Scientists Today,Reconstructing Assumptions about Science and Science Education toReclaim a Learner–Scientist Perspective,Susan A. Kirch; Michele Amoroso,2016,https://doi.org/10.1007/978-94-6300-349-0,70
978-90-481-9609-8,Belief Revision meets Philosophy of Science,Unavailable,Erik J Olsson; Sebastian Enqvist,2011,https://doi.org/10.1007/978-90-481-9609-8,280
978-94-010-1994-1,Berkeley’s Philosophy of Science,Unavailable,Richard J. Brook,1973,https://doi.org/10.1007/978-94-010-1994-1,180
978-3-8274-2877-6,Berufsziel Life Sciences,Ein Karriere-Wegweiser,Barbara Hoffbauer,2011,https://doi.org/10.1007/978-3-8274-2877-6,63
978-1-4757-0668-0,Beryllium Science and Technology,Volume 2,Dennis R. Floyd; John N. Lowe,1979,https://doi.org/10.1007/978-1-4757-0668-0,180
978-94-010-1797-8,Between Experience and Metaphysics,Philosophical Problems of the Evolution of Science,S. Amsterdamski,1975,https://doi.org/10.1007/978-94-010-1797-8,100
978-94-011-2706-6,Between History and Method,Disputes about the Rationality of Science,S. Amsterdamski; O. Amsterdamska; G.M. Moore,1992,https://doi.org/10.1007/978-94-011-2706-6,100
978-1-4020-3808-2,Beyond Cartesian Dualism,Encountering Affect in the Teaching and Learning of Science.,Steve Alsop,2005,https://doi.org/10.1007/1-4020-3808-9,180
978-90-481-3851-7,Beyond Mimesis and Convention,Representation in Art and Science,Roman Frigg; Matthew Hunter,2010,https://doi.org/10.1007/978-90-481-3851-7,280
978-3-319-23678-0,Bichitra: The Making of an Online Tagore Variorum,Unavailable,Sukanta Chaudhuri,2015,https://doi.org/10.1007/978-3-319-23678-0,100
978-3-031-69366-3,Big Data Infrastructure Technologies for Data Analytics,Scaling Data Science Applications for Continuous Growth,Yuri Demchenko; Juan J. Cuadrado-Gallego; Oleg Chertov; Marharyta Aleksandrova,2024,https://link.springer.com/978-3-031-69366-3,130
978-3-319-32738-9,Big Science Transformed,"Science, Politics and Organization in Europe and the United States",Olof Hallonsten,2016,https://doi.org/10.1007/978-3-319-32738-9,180
978-1-4757-9465-6,Biofeedback and Sports Science,Unavailable,J.H. Sandweiss; S.L. Wolf,1985,https://doi.org/10.1007/978-1-4757-9465-6,180
978-981-97-7395-4,Bioinformatics in Veterinary Science,Vetinformatics,Jun-Mo Kim; Rajesh Kumar Pathak,2024,https://link.springer.com/978-981-97-7395-4,440
978-1-4684-2235-1,Biological Abstracts / BIOSIS,The First Fifty Years. The Evolution of a Major Science Information Service,William Steere,1976,https://doi.org/10.1007/978-1-4684-2235-1,100
978-94-017-0910-1,Biological Nitrogen Fixation for Sustainable Agriculture,"Extended versions of papers presented in the Symposium, Role of Biological Nitrogen Fixation in Sustainable Agriculture at the 13th Congress of Soil Science, Kyoto, Japan, 1990",J.K. Ladha; T. George; C. Bohlool,1992,https://doi.org/10.1007/978-94-017-0910-1,280
978-1-4615-5349-6,Biomedical Science and Technology,Recent Developments in the Pharmaceutical and Medical Sciences,A. Atilla Hincal; H.Süheyla Kas,1998,https://doi.org/10.1007/978-1-4615-5349-6,100
978-981-19-5065-0,Blue Economy,An Ocean Science Perspective,Edward R. Urban Jr.; Venugopalan Ittekkot,2022,https://doi.org/10.1007/978-981-19-5065-0,180
978-94-011-3979-3,"Body, Text, and Science",The Literacy of Investigative Practices and the Phenomenology of Edith Stein,M. Sawicki,1997,https://doi.org/10.1007/978-94-011-3979-3,280
978-94-009-0341-8,Bold Ventures,Volume 2 Case Studies of U.S. Innovations in Science Education,Raizen,1997,https://doi.org/10.1007/978-94-009-0341-8,100
978-94-011-5438-3,Bold Ventures,Volume 2 Case Studies of U.S. Innovations in Science Education,S. Raizen; E.D. Britton,1997,https://doi.org/10.1007/978-94-011-5438-3,400
978-0-306-47206-0,Bold Ventures - Volume 1,Patterns Among Innovations in Science and Mathematics Education,S. Raizen; E.D. Britton,2002,https://doi.org/10.1007/0-306-47206-6,180
978-94-011-5440-6,Bold Ventures Volume 1,Patterns Among U.S. Innovations in Science and Mathematics Education,Raizen,1997,https://doi.org/10.1007/978-94-011-5440-6,100
978-90-481-9422-3,Brazilian Studies in Philosophy and History of Science,An account of recent works,Décio Krause; Antonio Videira,2011,https://doi.org/10.1007/978-90-481-9422-3,180
978-3-319-46394-0,Brewing Science: A Multidisciplinary Approach,Unavailable,Michael Mosher; Kenneth Trantham,2017,https://doi.org/10.1007/978-3-319-46394-0,419
978-3-031-22223-8,Bridges to Global Ethics,Geoethics at the Confluence of Humanities and Sciences,Giuseppe Di Capua; Luiz Oosterbeek,2023,https://doi.org/10.1007/978-3-031-22223-8,100
978-1-4614-4559-3,"Bridging Mathematics, Statistics, Engineering and Technology",Contributions from the Fall 2011 Seminar on Mathematical Sciences and Applications,Bourama Toni; Keith Williamson; Nasser Ghariban; Dawit Haile; Zhifu Xie,2012,https://doi.org/10.1007/978-1-4614-4559-3,180
978-3-030-17219-0,Bridging Research and Practice in Science Education,Selected Papers from the ESERA 2017 Conference,Eilish McLoughlin; Odilla E. Finlayson; Sibel Erduran; Peter E. Childs,2019,https://doi.org/10.1007/978-3-030-17219-0,180
978-3-319-75919-7,Building Bridges at the Science-Stakeholder Interface,Towards Knowledge Exchange in Earth System Science,Gesche Krause,2018,https://doi.org/10.1007/978-3-319-75919-7,100
978-94-017-0961-3,Bulgarian Studies in the Philosophy of Science,Unavailable,D. Ginev,2003,https://doi.org/10.1007/978-94-017-0961-3,180
978-1-4614-9383-9,Candy Bites,The Science of Sweets,Richard W. Hartel; AnnaKate Hartel,2014,https://doi.org/10.1007/978-1-4614-9383-9,66
978-3-662-65753-9,Can Science Be Witty?,Science Communication Between Critique and Cabaret,Marc-Denis Weitze; Wolfgang Chr. Goede; Wolfgang M. Heckl,2023,https://doi.org/10.1007/978-3-662-65753-9,70
